construct,batch,design_id,success,protein_length,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal12_high_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,plddt_protein_mean,pae_contact_weighted,Rg_full_length_normalized,RF_score,threshold,predicted_work
puf12_r123_r5678_r56788,previous,,0,512.0,51.5625,3.966346153846154,0.992,0.8444230769230769,0.1025,0.7692307692307693,0.0732421875,3.653846153846154,2.379453125,2.33447265625,1.310947265625,1.27197265625,1.126376953125,1.08447265625,90.64921645550088,1.5802925,4.374480250000001,0.025157828282828285,0.5,0
puf12_r123_r5678_r5loop6788,previous,,0,519.0,51.1425,3.934038461538461,0.99125,0.8426923076923077,0.1,0.8076923076923077,0.0674373795761079,3.5,2.374421965317919,2.282273603082852,1.3060019267822736,1.2369942196531791,1.1270761078998075,1.060693641618497,89.05932533572721,1.9665511,4.345155548698031,0.013453981054787505,0.5,0
puf12_r123_r567_r567_r678,previous,,1,512.0,50.756,3.904307692307692,0.9932,0.842,0.09,0.7846153846153847,0.071875,3.615384615384616,2.42190234375,2.387109375,1.353078125,1.324609375,1.15512109375,1.12421875,91.54244380011048,1.4764194,4.323245000000001,0.8591518450092415,0.5,1
puf12_r123_r567_r5loop67_loopr678,previous,,1,526.0,43.795,3.368846153846154,0.9434999999999998,0.7325,0.14,0.7115384615384616,0.054657794676806,2.8653846153846154,2.4395532319391635,2.3797528517110265,1.3506226235741443,1.317965779467681,1.1615684410646387,1.125,89.19521956443165,1.9601834,4.2083600725482055,0.6580266928196601,0.5,1
puf12_r123_r567_r5loop67_r678,previous,,0,519.0,50.88,3.913846153846154,0.9925,0.8398076923076923,0.095,0.7692307692307693,0.071290944123314,3.615384615384616,2.4366570327552988,2.353082851637765,1.3598554913294798,1.3073217726396915,1.1597976878612717,1.107418111753372,90.50858722266013,1.7800908,4.287591697418225,0.06404877189919135,0.5,0
puf12_r123_r567_r6loopr7_r5678,previous,,0,519.0,50.94,3.918461538461539,0.9931666666666666,0.841025641025641,0.09,0.7692307692307693,0.0700064226075786,3.641025641025641,2.42310854206808,2.359023763648041,1.3403211303789335,1.2999357739242132,1.1492164418754014,1.1059730250481696,90.88652152393742,1.5592856,4.271241124719428,0.06016238294701295,0.5,0
puf12_r123_r567_r6loopr7_r5loop678,previous,,0,526.0,51.142500000000005,3.934038461538462,0.992875,0.8417307692307694,0.0975,0.7692307692307693,0.0703422053231939,3.615384615384616,2.4144011406844106,2.281844106463878,1.3336359315589357,1.2480988593155895,1.1429610266159695,1.064638783269962,88.62742574787116,2.066141,4.278679271999764,0.008603058448259688,0.5,0
puf12_r123_r567_r6r7_r5678,previous,,1,512.0,51.105,3.931153846153846,0.99275,0.8434615384615384,0.1,0.7884615384615385,0.0703125,3.6346153846153846,2.4138330078125003,2.38232421875,1.342021484375,1.31689453125,1.1465625,1.12060546875,91.66058561980012,1.4689822,4.293128000000001,0.724332126220682,0.5,1
puf_12_loopr4loopr4,previous,,0,527.0,42.5575,3.273653846153846,0.927875,0.7021153846153845,0.21,0.7115384615384616,0.0540796963946869,2.6538461538461537,2.387186907020873,2.212998102466793,1.3122485768500949,1.189278937381404,1.139895635673624,1.0265654648956355,87.69833979589882,2.3051465,4.341390525539182,0.04510905760905761,0.5,0
puf_12_loopr4r4,previous,,0,520.0,47.02,3.616923076923077,0.9652499999999998,0.7763461538461538,0.16,0.75,0.0634615384615384,3.173076923076924,2.394841346153846,2.30625,1.3220817307692307,1.25,1.1469615384615384,1.0740384615384615,88.35718493076368,2.2731767,4.337479362462147,0.02270375457875458,0.5,0
