construct,success,protein_length,pr_cp_sum,pr_cp_per_nt,pr_top20_mean,pr_rna_max_mean,pr_rna_max_min,pr_rna_coverage_05,pr_protein_coverage_05,pr_high_contacts_per_nt,pp_nonlocal4_per_res,pp_nonlocal4_high_per_res,pp_nonlocal12_per_res,pp_nonlocal12_high_per_res,pp_nonlocal24_per_res,pp_nonlocal24_high_per_res,rna01_cp_sum,rna01_cp_max,rna02_cp_sum,rna02_cp_max,rna03_cp_sum,rna03_cp_max,rna04_cp_sum,rna04_cp_max,rna05_cp_sum,rna05_cp_max,rna06_cp_sum,rna06_cp_max,rna07_cp_sum,rna07_cp_max,rna08_cp_sum,rna08_cp_max,rna09_cp_sum,rna09_cp_max,rna10_cp_sum,rna10_cp_max,rna11_cp_sum,rna11_cp_max,rna12_cp_sum,rna12_cp_max,rna13_cp_sum,rna13_cp_max,protein_bin01_pr_cp,protein_bin02_pr_cp,protein_bin03_pr_cp,protein_bin04_pr_cp,protein_bin05_pr_cp,protein_bin06_pr_cp,protein_bin07_pr_cp,protein_bin08_pr_cp,protein_bin09_pr_cp,protein_bin10_pr_cp,protein_bin11_pr_cp,protein_bin12_pr_cp,iptm,ptm,ranking_score,mean_plddt,interface_pae,plddt_protein_mean,plddt_protein_p10,plddt_core_mean,plddt_core_below70,pae_protein_mean,pae_contact_weighted,pae_RNA_symmetric,Rg_CA_A,Rg_core_CA_A,Rg_core_length_normalized,core_max_CA_distance_A,core_anisotropy,core_density_mean,core_density_sd,core_density_p10,core_high_density_mean,Rg_full_length_normalized,exploratory_score,threshold_05_class,extrapolation_any_abs_z_gt3
puf12_r123_r5678_r56788,0,512.0,51.5625,3.966346153846154,0.992,0.8444230769230769,0.1025,0.7692307692307693,0.0732421875,3.653846153846154,2.379453125,2.33447265625,1.310947265625,1.27197265625,1.126376953125,1.08447265625,4.5625,0.99,6.3175,0.995,4.6025,0.9925,4.7375,1.0,4.2275,1.0,4.7250000000000005,0.99,4.3775,1.0,4.395,0.99,4.705,0.98,5.6875,0.97,1.5275,0.4925,1.2225,0.475,0.475,0.1025,0.0413953488372093,0.2280813953488372,0.0965697674418604,0.1072674418604651,0.1051744186046511,0.1161046511627907,0.2035465116279069,0.1263372093023256,0.1288095238095238,0.05,0.0,0.0,0.9255,0.8585,0.9325,90.2809586059102,6.772639723557692,90.64921645550088,79.57265704365079,93.98739596114083,0.0002314814814814,7.95525,1.5802925,6.7179003,34.995842,31.63881,4.18529,89.6164119794845,15.306132148283984,2.920816,1.7456226,0.5195,2.8472223,4.374480250000001,0.4526027595469397,failure_like,False
puf12_r123_r5678_r5loop6788,0,519.0,51.1425,3.934038461538461,0.99125,0.8426923076923077,0.1,0.8076923076923077,0.0674373795761079,3.5,2.374421965317919,2.282273603082852,1.3060019267822736,1.2369942196531791,1.1270761078998075,1.060693641618497,4.54,0.99,6.215,0.99,4.5375,0.99,4.6125,1.0,4.1875,0.995,4.695,0.99,4.370000000000001,1.0,4.3425,0.99,4.715,0.98,5.699999999999999,0.97,1.5625,0.5025000000000001,1.1975000000000002,0.4575000000000001,0.4675000000000001,0.1,0.04125,0.2226704545454545,0.0941477272727272,0.1060465116279069,0.1043023255813953,0.1584883720930232,0.155,0.125406976744186,0.1242441860465116,0.0494767441860465,0.0,0.0,0.9235,0.8455,0.9275,88.8251804192685,7.529891062694531,89.05932533572721,74.81744314213564,92.55938366640112,0.0340277777777777,8.864252,1.9665511,7.189463,34.918945,31.627222,4.183757,88.79080153437573,15.28744153058386,2.9402373,1.723417,0.56675,2.7997684,4.345155548698031,0.330409946754835,failure_like,False
puf12_r123_r567_r567_r678,1,512.0,50.756,3.904307692307692,0.9932,0.842,0.09,0.7846153846153847,0.071875,3.615384615384616,2.42190234375,2.387109375,1.353078125,1.324609375,1.15512109375,1.12421875,4.486,0.99,5.8740000000000006,1.0,4.75,1.0,4.396,1.0,4.254,1.0,4.732,0.99,4.386,0.998,4.38,0.99,4.682,0.98,5.692,0.97,1.52,0.4939999999999999,1.1780000000000002,0.444,0.426,0.09,0.0413953488372093,0.2253488372093023,0.0966046511627907,0.1071162790697674,0.1063255813953488,0.1111162790697674,0.2033953488372092,0.118,0.1257619047619047,0.0493809523809523,0.0,0.0,0.9264,0.8615999999999999,0.932,91.07975028172189,6.401526442307693,91.54244380011048,80.70300058441559,94.9035875428224,0.0,7.4763565,1.4764194,6.655318,34.58596,31.543045,4.1726217,88.3190813073954,15.475573489581535,3.027116,1.7779478,0.56460005,2.9754632,4.323245000000001,0.6729709554611972,success_like,False
puf12_r123_r567_r5loop67_loopr678,1,526.0,43.795,3.368846153846154,0.9434999999999998,0.7325,0.14,0.7115384615384616,0.054657794676806,2.8653846153846154,2.4395532319391635,2.3797528517110265,1.3506226235741443,1.317965779467681,1.1615684410646387,1.125,3.0475000000000003,0.6125,4.7425,0.9225,4.4975,0.955,4.4825,0.95,3.9775,0.9575,4.4625,0.955,4.435,0.9725,3.4375,0.9025,3.3125,0.7375,2.895,0.6000000000000001,1.6775,0.3999999999999999,1.895,0.4175,0.9325,0.14,0.0120454545454545,0.079375,0.0805113636363636,0.1013068181818181,0.097840909090909,0.1909659090909091,0.1053977272727272,0.0880681818181818,0.0985795454545454,0.0586363636363636,0.045,0.0395348837209302,0.89,0.8325,0.8985000000000001,88.69325534258647,7.687793214390172,89.19521956443165,75.12789715007216,92.70157231992545,0.0192129629629629,8.887696,1.9601834,7.8363366,33.970985,30.97173,4.0970464,85.86103466108412,14.428521074438772,3.0557756,1.7604625,0.61,3.0069444,4.2083600725482055,0.6910120751128832,success_like,False
puf12_r123_r567_r5loop67_r678,0,519.0,50.88,3.913846153846154,0.9925,0.8398076923076923,0.095,0.7692307692307693,0.071290944123314,3.615384615384616,2.4366570327552988,2.353082851637765,1.3598554913294798,1.3073217726396915,1.1597976878612717,1.107418111753372,4.54,0.99,5.925000000000001,1.0,4.7,1.0,4.4725,1.0,4.195,0.9925,4.734999999999999,0.99,4.4225,0.9975,4.390000000000001,0.99,4.68,0.98,5.7125,0.97,1.49,0.4649999999999999,1.1825,0.4475,0.435,0.095,0.0417045454545454,0.2189204545454545,0.0946590909090909,0.1079651162790697,0.1065116279069767,0.1559883720930232,0.1106976744186046,0.1648255813953488,0.1251744186046511,0.0485465116279069,0.0,0.0,0.925,0.855,0.93,90.19510906862746,6.927161701496962,90.50858722266013,79.45582322510823,93.76141082393043,0.0196759259259259,8.07262,1.7800908,6.9382496,34.456345,31.378296,4.1508284,87.66703069771569,14.91412630726057,3.0524075,1.7602466,0.65475005,2.9583335,4.287591697418225,0.6233097628074158,success_like,False
puf12_r123_r567_r6loopr7_r5678,0,519.0,50.94,3.918461538461539,0.9931666666666666,0.841025641025641,0.09,0.7692307692307693,0.0700064226075786,3.641025641025641,2.42310854206808,2.359023763648041,1.3403211303789335,1.2999357739242132,1.1492164418754014,1.1059730250481696,4.43,0.9966666666666668,5.8933333333333335,1.0,4.746666666666666,1.0,4.853333333333333,1.0,4.1866666666666665,0.99,4.646666666666667,0.99,4.3533333333333335,1.0,4.376666666666666,0.99,4.6933333333333325,0.98,5.723333333333333,0.97,1.4733333333333334,0.4766666666666667,1.15,0.45,0.4133333333333334,0.09,0.0402272727272727,0.2196212121212121,0.0940151515151515,0.1062790697674418,0.1051937984496124,0.1644961240310077,0.099922480620155,0.1764341085271318,0.1212403100775193,0.0489922480620155,0.0,0.0,0.9293333333333336,0.8673333333333333,0.936,90.5417069221628,6.457702682673781,90.88652152393742,78.80022797017797,94.5398123665001,0.0063271604938271,7.550195,1.5592856,6.557776,34.324947,31.287874,4.138867,86.95129880039924,14.980090779342897,3.0219984,1.7804257,0.59433335,2.955247,4.271241124719428,0.6658004336193288,success_like,False
puf12_r123_r567_r6loopr7_r5loop678,0,526.0,51.142500000000005,3.934038461538462,0.992875,0.8417307692307694,0.0975,0.7692307692307693,0.0703422053231939,3.615384615384616,2.4144011406844106,2.281844106463878,1.3336359315589357,1.2480988593155895,1.1429610266159695,1.064638783269962,4.575,0.99,5.7475,0.9975,4.6375,1.0,4.845,1.0,4.1925,0.99,4.745,0.9925,4.375,1.0,4.3725,0.99,4.75,0.98,5.722499999999999,0.97,1.5275,0.475,1.2025,0.4600000000000001,0.45,0.0975,0.0414204545454545,0.2226704545454545,0.0942613636363636,0.1043181818181818,0.1042613636363636,0.2063636363636363,0.097840909090909,0.1243749999999999,0.1189772727272727,0.047840909090909,0.0,0.0,0.927,0.8475,0.929,88.45481813174707,7.562213366481427,88.62742574787116,70.87931121031747,92.31730046542644,0.039699074074074,8.8019905,2.066141,7.2164774,34.53862,31.466963,4.1625576,89.25023433185214,15.34901468692856,3.0222223,1.7530451,0.64725006,2.8645835,4.278679271999764,0.41898051447866175,failure_like,False
puf12_r123_r567_r6r7_r5678,1,512.0,51.105,3.931153846153846,0.99275,0.8434615384615384,0.1,0.7884615384615385,0.0703125,3.6346153846153846,2.4138330078125003,2.38232421875,1.342021484375,1.31689453125,1.1465625,1.12060546875,4.45,0.99,5.9175,1.0,4.744999999999999,1.0,4.795,1.0,4.19,0.99,4.6275,0.99,4.3825,1.0,4.42,0.99,4.717499999999999,0.98,5.7225,0.97,1.4975,0.495,1.185,0.46,0.455,0.1,0.0410465116279069,0.2272674418604651,0.0970930232558139,0.1076162790697674,0.1051744186046511,0.1176744186046511,0.1909883720930232,0.1301744186046511,0.1255952380952381,0.0499404761904761,0.0,0.0,0.926,0.8634999999999999,0.9325,91.15304417399145,6.273963341346153,91.66058561980012,80.98997678030304,95.11261850415532,0.0,7.3704114,1.4689822,6.5600696,34.345024,31.3656,4.149149,87.18618858243636,15.22553773370862,3.0021472,1.7977874,0.48325002,2.9641204,4.293128000000001,0.7001687320217669,success_like,False
puf_11_loopr8,0,483.0,51.08,3.929230769230769,0.992625,0.8400000000000001,0.0849999999999999,0.8269230769230769,0.077639751552795,3.730769230769231,2.3877432712215323,2.333850931677018,1.299296066252588,1.2608695652173914,1.1186387163561076,1.0781573498964805,4.6450000000000005,0.99,5.9175,1.0,4.734999999999999,1.0,4.6075,0.9975,4.220000000000001,0.9975,4.6925,0.99,4.3575,0.9975,4.37,0.99,4.7425,0.9775,5.72,0.97,1.5375,0.505,1.125,0.42,0.41,0.0849999999999999,0.0026219512195121,0.2745731707317073,0.1045121951219512,0.1146875,0.1128125,0.109,0.115875,0.1160624999999999,0.129375,0.13525,0.0526875,0.0,0.9185,0.8614999999999999,0.9265,90.31487931856088,6.634781812390509,90.76015729806196,80.12283743506494,94.41899101116688,0.0,7.742361,1.6146489,6.660597,34.01635,30.156029,4.1065373,87.23178138058391,14.349630932938627,2.9399939,1.7775438,0.47749996,2.8705807,4.335494781490278,0.48431835230069453,failure_like,False
puf_11_r8,0,476.0,51.0625,3.927884615384616,0.9925,0.8394230769230769,0.08,0.8461538461538461,0.0777310924369747,3.769230769230769,2.371906512605042,2.321953781512605,1.2988707983193275,1.259453781512605,1.1095063025210083,1.0682773109243695,4.7075,0.99,5.885,1.0,4.745,1.0,4.63,0.9975,4.237500000000001,0.9975,4.6125,0.99,4.369999999999999,0.995,4.37,0.99,4.73,0.9775,5.71,0.97,1.5975,0.53,1.08,0.395,0.3875,0.08,0.0026875,0.2036875,0.1835625,0.1155625,0.1115,0.10875,0.1164375,0.1161875,0.1326923076923077,0.1394871794871794,0.0541666666666666,0.0,0.9175,0.862,0.9275,90.4209497105644,6.57662491919845,90.9017333029424,80.00965266053392,94.5199731454152,0.0,7.6818995,1.5951543,6.6599646,33.77948,30.016068,4.0874777,86.57000126045065,14.124411037197532,2.9202778,1.7794194,0.47124997,2.8440657,4.326306747039999,0.5013380149654922,success_like,False
