construct,seed,model,plddt_protein_mean,plddt_protein_p10,plddt_core_mean,plddt_core_below70,pae_protein_mean,pae_contact_weighted,pae_RNA_symmetric,Rg_CA_A,Rg_core_CA_A,Rg_core_length_normalized,core_max_CA_distance_A,core_anisotropy,core_density_mean,core_density_sd,core_density_p10,core_high_density_mean
puf_12_loopr4r4,2,0,87.38454191988566,68.053625,90.9193791870424,0.05555555555555555,9.871251,2.4679005,7.8461537,34.77003,31.655045,4.1874375,91.6981694118193,15.074520583497263,2.9420602,1.7207654,0.662,2.7870371
puf_12_loopr4r4,2,1,87.17347504301254,67.35425000000001,90.69312090231014,0.07175925925925926,10.020311,2.5351577,8.039098,34.561234,31.512705,4.168608,89.53830278077977,14.924964236500932,2.9420602,1.7207654,0.662,2.7870371
puf_12_loopr4r4,2,2,87.02884750180374,66.34933333333335,90.59043614134065,0.0763888888888889,9.997625,2.5409126,8.098498,35.015793,31.830498,4.210647,91.99708622119168,15.470880426474753,2.9420602,1.7207654,0.662,2.7870371
puf_12_loopr4r4,2,3,87.0205356497669,66.71030555555556,90.61044355843487,0.06712962962962964,10.125258,2.574412,8.193572,34.788383,31.648651,4.1865916,91.64873105751298,15.331727375051207,2.9420602,1.7207654,0.662,2.7870371
puf_12_loopr4r4,2,4,86.7297236409424,65.34577777777778,90.40844629496017,0.08333333333333333,10.278385,2.643048,8.340088,35.04368,31.822657,4.20961,91.95358181572739,15.329100068784703,2.9420602,1.7207654,0.662,2.7870371
puf_12_r4r4,4,0,90.5634461518555,78.89775,93.24431406158143,0.009259259259259259,8.349917,1.7643238,7.84368,34.553745,31.637342,4.185096,89.17528294812854,15.57281439853269,2.9455786,1.725443,0.5370001,2.8425925
puf_12_r4r4,4,1,90.90922656880697,80.80248484848485,93.52984431367246,0.0023148148148148147,8.121993,1.7023528,7.770633,34.081432,31.436878,4.158578,87.83626233808663,15.359068097887764,2.9455786,1.725443,0.5370001,2.8425925
puf_12_r4r4,4,2,90.59272217299701,79.47833333333332,93.28913952020203,0.004629629629629629,8.432743,1.7943889,8.271615,34.59892,31.6321,4.184402,89.41484449902363,15.537722707972218,2.9455786,1.725443,0.5370001,2.8425925
puf_12_r4r4,4,3,90.55523404400451,79.1498888888889,93.27414131226286,0.004629629629629629,8.401758,1.7753705,8.406561,34.093197,31.323927,4.143636,88.20356847392297,14.899909359369689,2.9455786,1.725443,0.5370001,2.8425925
puf_12_r4r4,4,4,90.49806313342278,79.26181818181817,93.16698911485891,0.006944444444444444,8.509053,1.801395,8.827411,34.63886,31.701166,4.1935387,90.25996907928618,15.38798684566986,2.9455786,1.725443,0.5370001,2.8425925
puf_12_r4r4,3,0,88.91656301528232,72.40125,92.05816192597268,0.03009259259259259,9.272684,2.2307324,7.587172,34.5203,31.613298,4.1819153,88.03094223736083,15.382056694385373,2.9436574,1.7220852,0.551,2.8541667
puf_12_r4r4,3,1,88.97516398108066,73.38928571428572,92.10244446782643,0.027777777777777776,9.277729,2.2279947,7.808135,34.737095,31.68962,4.1920114,88.84326802122413,15.548275774262406,2.9436574,1.7220852,0.551,2.8541667
puf_12_r4r4,3,2,88.80703263208527,72.74165079365079,91.88957018682193,0.032407407407407406,9.307307,2.2331007,7.638507,34.336136,31.511084,4.168394,87.57803060909329,15.15237683465434,2.9436574,1.7220852,0.551,2.8541667
puf_12_r4r4,3,3,88.63402351839196,71.8394,91.78025620039682,0.032407407407407406,9.47059,2.2854996,7.9779882,34.81432,31.741825,4.198917,89.47989858262663,15.521271302420118,2.9436574,1.7220852,0.551,2.8541667
puf_12_r4r4,3,4,88.56437453271226,71.14098412698412,91.75424903298861,0.03935185185185185,9.486497,2.3207738,7.887089,35.09368,32.000076,4.2330794,90.35320789759525,16.02887127597658,2.9436574,1.7220852,0.551,2.8541667
puf12_r123_r5678_r56788,1,0,90.73089310445414,77.87687500000001,94.18400304717144,0.0,7.9106665,1.5692915,6.505747,35.14157,31.82646,4.210113,90.12265399121338,15.737760544045546,2.9224768,1.7459644,0.544,2.8472223
puf12_r123_r5678_r56788,1,1,90.38266737266639,77.24542857142858,93.78470704398481,0.0023148148148148147,7.9106545,1.5770823,6.5874853,34.76402,31.524632,4.170186,88.53061969501752,15.082549788016646,2.9224768,1.7459644,0.544,2.8472223
puf12_r123_r5678_r56788,1,2,90.53125576777823,77.88802500000001,93.90090364708595,0.0,7.916105,1.5670496,6.523347,34.856014,31.55104,4.1736794,89.56125268118087,15.187970383682265,2.9224768,1.7459644,0.544,2.8472223
puf12_r123_r5678_r56788,1,3,90.2444228290156,76.71499999999999,93.75203229216771,0.0,8.090006,1.6069443,6.703178,34.971684,31.58349,4.177972,88.93728159249284,15.141173590253103,2.9224768,1.7459644,0.544,2.8472223
puf12_r123_r5678_r56788,1,4,90.29596359732932,77.34823214285713,93.78965748423387,0.0023148148148148147,7.9638166,1.5918896,6.8530874,34.643627,31.54825,4.1733103,88.83789095026752,15.13759337837572,2.9224768,1.7459644,0.544,2.8472223
puf_11_r8,2,0,90.90341330395795,80.22188888888888,94.53829152455289,0.0,7.595694,1.5604788,6.6689963,33.766655,29.923473,4.0748687,86.41131078716883,14.032134244931523,2.92053,1.7810336,0.46499997,2.8459597
puf_11_r8,2,1,90.93652250824573,80.37085858585858,94.50930872214205,0.0,7.583412,1.5791136,6.323045,33.489162,29.901142,4.0718274,85.38117563461445,13.96152980016517,2.92053,1.7810336,0.46499997,2.8459597
puf_11_r8,2,2,90.92319576618526,80.46479797979799,94.45323839495241,0.0,7.573949,1.5708106,6.575727,33.668633,29.958937,4.0796976,86.18584801360477,14.070979145443248,2.92053,1.7810336,0.46499997,2.8459597
puf_11_r8,2,3,91.21478306853044,80.80170454545456,94.74652419487079,0.0,7.589281,1.5728066,6.7881713,33.933876,30.050533,4.092171,87.01753056049905,14.148686906374458,2.92053,1.7810336,0.46499997,2.8459597
puf_11_r8,2,4,90.75057666399894,80.10318181818181,94.36612861023656,0.0,7.7665195,1.6092857,6.630818,33.698032,29.90534,4.072399,86.43521708967988,14.001476225441762,2.92053,1.7810336,0.46499997,2.8459597
puf_11_loopr8,2,0,90.89314045139355,80.36465454545453,94.51948338999665,0.0,7.5754557,1.5604533,6.542053,34.06807,30.149382,4.105632,87.46272816581863,14.376176523659547,2.9418433,1.777877,0.47500002,2.8762627
puf_11_loopr8,2,1,90.72666709762517,80.04724999999999,94.32931859358374,0.0,7.7440968,1.5993499,6.7130117,33.96854,30.056982,4.093049,87.02121560986798,14.316676309166125,2.9418433,1.777877,0.47500002,2.8762627
puf_11_loopr8,2,2,90.9523752095041,81.0248888888889,94.47500281767894,0.0,7.5726333,1.5687128,6.754411,33.94179,30.132788,4.103372,87.04395379975445,14.293449849412504,2.9418433,1.777877,0.47500002,2.8762627
puf_11_loopr8,2,3,90.75636484708069,80.15755555555555,94.44710769127057,0.0,7.7438893,1.6031153,6.856132,34.1508,30.16631,4.107937,87.28275721900557,14.28863710869925,2.9418433,1.777877,0.47500002,2.8762627
puf_11_loopr8,2,4,90.8333381672388,80.48727272727272,94.44780996928156,0.0,7.673795,1.5835878,6.7053113,34.160778,30.154188,4.1062865,87.18556670496584,14.324697434699035,2.9418433,1.777877,0.47500002,2.8762627
puf_12_loopr4loopr4,1,0,87.87202190035349,65.40333333333334,91.22246234668108,0.0625,9.361404,2.2626905,7.749336,35.084957,31.74149,4.1988726,95.95860562936448,15.178239788951549,2.9464817,1.723858,0.63100004,2.726852
puf_12_loopr4loopr4,1,1,88.32513294369556,66.54495238095238,91.48709775583212,0.05555555555555555,9.21999,2.1745112,7.812378,34.88944,31.663704,4.188583,92.7362290361425,15.010654730155313,2.9464817,1.723858,0.63100004,2.726852
puf_12_loopr4loopr4,1,2,88.0022913432235,65.44397142857144,91.21975907220352,0.06018518518518518,9.277843,2.2429557,7.9124365,34.476124,31.361929,4.148663,94.18595980486182,14.34799055791914,2.9464817,1.723858,0.63100004,2.726852
puf_12_loopr4loopr4,1,3,87.63985610646996,63.483,91.00082214088637,0.0625,9.554716,2.3254704,8.260196,35.37857,31.906944,4.22076,95.01409318433701,15.589954359176108,2.9464817,1.723858,0.63100004,2.726852
puf_12_loopr4loopr4,1,4,87.65846010251609,63.89860714285715,91.07404901277992,0.06018518518518518,9.356507,2.305099,8.0807905,34.518703,31.344217,4.1463203,93.31494245200349,14.512336181900691,2.9464817,1.723858,0.63100004,2.726852
puf_12_r4loopr4,4,0,89.01195522255522,73.61911111111111,92.02863597532868,0.034722222222222224,8.982147,2.06586,7.98449,34.628403,31.490856,4.165718,91.85581498695925,15.08167741487292,2.955347,1.7051294,0.68000025,2.7962964
